date,WSJ_NMPU_LM,WSJ_NMPU_ML,NYT_NMPU_LM,NYT_NMPU_ML,WSJ_INFU_LM,WSJ_INFU_ML,NYT_INFU_LM,NYT_INFU_ML,EPU,VIX,MPU_MKT,MOVE,WSJ_INFU_LM_weighted,WSJ_INFU_ML_weighted,WSJ_INFU_LM_screened,WSJ_INFU_ML_screened,NYT_INFU_LM_weighted,NYT_INFU_ML_weighted,NYT_INFU_LM_screened,NYT_INFU_ML_screened,WSJ_GSCU_LM,WSJ_GSCU_ML,NYT_GSCU_LM,NYT_GSCU_ML,NYT_CREDIT_RATING_MAI,NYT_GDP_MAI,NYT_HSNG_MAI,NYT_INFL_MAI,NYT_MONETARY_MAI,NYT_OIL_MAI,NYT_UNEMP_MAI,NYT_USD_MAI,WSJ_CREDIT_RATING_MAI,WSJ_GDP_MAI,WSJ_HSNG_MAI,WSJ_INFL_MAI,WSJ_MONETARY_MAI,WSJ_OIL_MAI,WSJ_UNEMP_MAI,WSJ_USD_MAI
1983-11-30 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,0.188911469,0.188911469,0.041980326,0.797626203,0.797626203,0.734655714,0.566734408,0.041980326,,,,,,,,
1983-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,0.13617232,0.385821573,0.090781547,0.817033919,1.180160106,0.953206239,0.998597012,0,,,,,,,,
1984-01-31 00:00:00,0.011406726,0.01834866,0.009600129,0.018737105,0.009926825,0.016718689,0.009621438,0.016257318,,,,,0.010410021,0.017482652,0.010319529,0.017648072,0.009922666,0.01751763,0.008983153,0.016931538,0.006245137,0.010759856,0.006782605,0.010566533,0.128937729,0.322344322,0.128937729,1.117460317,1.052991453,1.246398046,0.85958486,0,0.137953522,0.74494902,0.303497749,2.317619173,1.876167902,3.062568193,1.076037473,1.655442266
1984-02-29 00:00:00,0.011195725,0.018131001,0.010818269,0.01853184,0.009767879,0.016799581,0.008845779,0.016096891,,,,,0.010915976,0.018690265,0.010947859,0.018943465,0.008992926,0.016714693,0.009215966,0.017494379,0.006718336,0.011615822,0.006327176,0.010285058,0.044472681,0.289072427,0.088945362,0.889453621,1.445362135,0.867217281,0.778271919,0.022236341,0.176223776,1.204195804,0.293706294,2.907692308,2.731468531,2.702097902,1.321678322,1.732867133
1984-03-31 00:00:00,0.010670174,0.017117064,0.00946064,0.017224212,0.010149209,0.015865177,0.0083788,0.01411171,,,,,0.010752524,0.01761533,0.010825378,0.017735303,0.008739451,0.015523729,0.00872022,0.015322882,0.007148552,0.011162952,0.006052709,0.009727945,0.100180325,0.240432779,0.140252454,0.581045883,1.18212783,1.242236025,0.520937688,0.04007213,0.184404636,0.895679663,0.105374078,2.397260274,2.370916754,3.609062171,1.264488936,1.448893572
1984-04-30 00:00:00,0.009581992,0.016638955,0.009897305,0.015812601,0.008761191,0.01614882,0.008513731,0.014699241,,,,,0.010025511,0.018019779,0.010126724,0.018364081,0.007952803,0.014303243,0.007132811,0.014249175,0.005622991,0.00967141,0.006410159,0.010272958,0.144400786,0.16502947,0.082514735,0.825147348,0.680746562,0.94891945,0.536345776,0.020628684,0.197647059,0.667058824,0.197647059,2.445882353,2.001176471,2.347058824,1.185882353,1.136470588
1984-05-31 00:00:00,0.011124306,0.018656626,0.010295735,0.015914879,0.010000526,0.016420464,0.00850186,0.012694757,,,,,0.010533839,0.017749676,0.010834451,0.018234841,0.008458767,0.011787262,0.008461579,0.011350659,0.007049148,0.01166494,0.00649448,0.010113117,0.039675694,0.158702777,0.099189236,1.011730205,1.46800069,0.991892358,0.575297568,0.039675694,0.299271339,0.473846287,0.174574948,2.444049271,2.518867106,3.61619535,0.798056905,1.222024636
1984-06-30 00:00:00,0.011746231,0.017663937,0.008833462,0.015250075,0.010311867,0.017077511,0.009550765,0.016541946,,,,,0.011281573,0.017285777,0.011400667,0.017211945,0.010481997,0.01786661,0.011410767,0.019848078,0.00709748,0.011696741,0.007007056,0.011545535,0.18895654,0.314927567,0.083980684,1.238715096,1.217719924,0.776821331,0.75582616,0,0.131475151,1.419931633,0.262950302,3.207993689,2.918748357,2.15619248,0.867735998,1.446226663
1984-07-31 00:00:00,0.011396196,0.019125383,0.009435997,0.015782555,0.011067122,0.018457465,0.009713023,0.013360436,,,,,0.011090205,0.019527568,0.011329008,0.020024561,0.010386397,0.014342434,0.012355258,0.01588225,0.007190059,0.011754164,0.006059141,0.009625856,0.122456931,0.163275908,0.14286642,1.081702894,1.265388291,0.795970054,0.673513122,0.020409489,0.204043777,1.020218883,0.233192888,3.731086202,2.798314651,0.233192888,1.54490288,2.361077987
1984-08-31 00:00:00,0.010254491,0.016610388,0.009391262,0.015489971,0.009711622,0.01639182,0.008996546,0.015201117,,,,,0.009735625,0.017175544,0.009742811,0.017266377,0.009665673,0.015947535,0.010095337,0.016549019,0.006399647,0.010451718,0.006182855,0.009493054,0.060398631,0.241594524,0.060398631,1.167706865,1.26837125,0.825447957,0.563720556,0.020132877,0.243572395,1.244925575,0.324763194,3.437077131,2.543978349,4.9797023,1.109607578,1.705006766
1984-09-30 00:00:00,0.010921889,0.017871701,0.010716122,0.018637089,0.010152786,0.016816129,0.008151079,0.015646396,,,,,0.009579433,0.01696683,0.009405373,0.01746498,0.00853669,0.017491289,0.008864328,0.01843897,0.006826347,0.011425229,0.006668552,0.010227482,0.086034457,0.322629213,0.193577528,0.967887639,1.312025466,0.752801497,0.709784269,0.021508614,0.291857185,0.90800013,0.129714304,3.113143302,2.010571716,2.14028602,1.524143075,2.529428933
1984-10-31 00:00:00,0.009172515,0.015856891,0.008500694,0.015944828,0.009870374,0.016273975,0.007362628,0.014402167,,,,,0.01063412,0.017330398,0.010647081,0.017551297,0.00763022,0.01484251,0.007176611,0.014553704,0.006347143,0.010466003,0.006771781,0.010584862,0.18175209,0.290803344,0.109051254,1.181388586,0.854234824,1.254089422,0.672482734,0.036350418,0.378787879,0.808080808,0.252525253,2.5,1.666666667,2.777777778,0.909090909,2.045454545
1984-11-30 00:00:00,0.009655494,0.016147258,0.011675301,0.017709926,0.009635207,0.016489866,0.00948351,0.017310044,,,,,0.009914152,0.017875387,0.009678105,0.018259716,0.00964339,0.018715473,0.009895678,0.019679402,0.006415358,0.010427247,0.006988364,0.010224198,0.120485227,0.281132196,0.120485227,0.943800944,1.204852269,1.004043557,0.863477459,0.060242613,0.350961155,0.848156125,0.175480577,2.632208662,2.573715137,2.544468374,1.316104331,1.959533115
1984-12-31 00:00:00,0.008918852,0.015245142,0.011023877,0.017674459,0.008288362,0.016031766,0.009261518,0.016552922,,,,,0.00859551,0.016699295,0.008336862,0.016524717,0.010083427,0.018649469,0.010266187,0.019689621,0.006551028,0.010466741,0.006499727,0.010449239,0.066441679,0.24361949,0.044294453,0.908036279,1.439569711,1.616747522,0.66441679,0.044294453,0.157752404,0.978064904,0.189302885,3.344350962,2.650240385,2.934194712,1.388221154,1.419771635
1985-01-31 00:00:00,0.009978174,0.0157756,0.009507037,0.0174091,0.009706163,0.015060483,0.008792452,0.015611653,179.6954545,,,,0.010711542,0.01681953,0.010747811,0.01722706,0.009558142,0.017668712,0.009703427,0.018664739,0.006621497,0.010565793,0.005998747,0.009826557,0.351487134,0.285583297,0.175743567,1.252172916,1.3400447,1.71349978,0.724942215,0.087871784,0.578664878,1.074663344,0.137777352,3.471989265,2.149326688,4.160876024,0.991996933,2.700436095
1985-02-28 00:00:00,0.011059078,0.017857221,0.008091204,0.012856793,0.009544314,0.015353288,0.008314839,0.014150796,140.6221053,,,,0.009724535,0.016115479,0.009776656,0.015908585,0.00856395,0.014107816,0.008716752,0.014049405,0.006218402,0.011117696,0.006350971,0.010580741,0.046026742,0.368213932,0.092053483,0.989574943,1.19669528,1.104641797,0.552320898,0.138080225,0.574859479,0.926162494,0.223556464,3.097853858,2.267501277,2.874297394,1.469085335,2.299437915
1985-03-31 00:00:00,0.010502874,0.016325628,0.008992939,0.016375978,0.009791124,0.016274613,0.008030542,0.016538404,123.932381,,,,0.009847408,0.016448647,0.009940432,0.016789717,0.008167609,0.016516628,0.008487333,0.017408079,0.007107069,0.011889877,0.006441546,0.010567882,0.202922078,0.202922078,0.101461039,1.055194805,1.19724026,1.095779221,0.649350649,0.081168831,0.377256804,1.347345729,0.026946915,2.937213689,1.805443277,2.53300997,1.185664241,2.182700081
1985-04-30 00:00:00,0.011167899,0.016668976,0.011202073,0.015422479,0.010068184,0.01598779,0.00836858,0.015406959,114.6861905,,,,0.010984933,0.016798293,0.01104617,0.016513489,0.007981326,0.01689868,0.007583721,0.017618397,0.006902406,0.011540951,0.00716889,0.010208014,0.157875852,0.293198011,0.090214773,0.721718181,0.85704034,0.947255113,0.49618125,0.090214773,0.425556124,1.001308528,0.150196279,2.50327132,1.827388064,2.428173181,1.176537521,2.303009615
